=== 고용보험 전체 재수집 리포트 (2026-05-14 23:02) ===


[EC 재수집] 수정:1608건, 동일:6건, 오류:1건
[EC 재수집] 전체 인원 합계: 2,935,260 → 1,680,811 (-1,254,449명)

[5% 이상 변화 기업 목록] (1605건):
  신세계(004170): 5,968 → 2,985 (-2,983명, 50.0%)
  하이트진로(000080): 3,191 → 231 (-2,960명, 92.8%)
  현대위아(011210): 5,810 → 2,864 (-2,946명, 50.7%)
  계룡건설산업(013580): 11,376 → 8,452 (-2,924명, 25.7%)
  현대백화점(069960): 5,824 → 2,944 (-2,880명, 49.5%)
  경동나비엔(009450): 4,644 → 1,768 (-2,876명, 61.9%)
  호텔신라(008770): 5,686 → 2,842 (-2,844명, 50.0%)
  한화생명보험(088350): 5,616 → 2,816 (-2,800명, 49.9%)
  삼양식품(003230): 5,473 → 2,733 (-2,740명, 50.1%)
  삼성증권(016360): 5,408 → 2,713 (-2,695명, 49.8%)
  한신공영(004960): 6,947 → 4,362 (-2,585명, 37.2%)
  현대글로비스(086280): 6,421 → 3,876 (-2,545명, 39.6%)
  하림(136480): 5,005 → 2,503 (-2,502명, 50.0%)
  한샘(009240): 4,829 → 2,338 (-2,491명, 51.6%)
  HL D&I(014790): 9,189 → 6,737 (-2,452명, 26.7%)
  녹십자(006280): 4,962 → 2,539 (-2,423명, 48.8%)
  한미약품(128940): 4,852 → 2,431 (-2,421명, 49.9%)
  한국전력기술(052690): 4,744 → 2,375 (-2,369명, 49.9%)
  대교(019680): 11,680 → 9,328 (-2,352명, 20.1%)
  동부건설(005960): 8,424 → 6,105 (-2,319명, 27.5%)
  KCC(002380): 3,509 → 1,205 (-2,304명, 65.7%)
  한온시스템(018880): 4,433 → 2,203 (-2,230명, 50.3%)
  한국지역난방공사(071320): 4,391 → 2,196 (-2,195명, 50.0%)
  DB 하이텍(000990): 4,365 → 2,183 (-2,182명, 50.0%)
  포스코DX(022100): 4,738 → 2,607 (-2,131명, 45.0%)
  한국종합기술(023350): 4,140 → 2,011 (-2,129명, 51.4%)
  유한양행(000100): 4,255 → 2,130 (-2,125명, 49.9%)
  SK이노베이션(096770): 4,134 → 2,066 (-2,068명, 50.0%)
  금화피에스시(036190): 3,799 → 1,748 (-2,051명, 54.0%)
